rank,timestamp,seconds,count,segment
1,4:13:00,15180,647,Just Chatting
2,4:21:00,15660,626,Just Chatting
3,4:32:00,16320,625,Just Chatting
4,4:23:00,15780,623,Just Chatting
5,4:27:00,16020,618,Just Chatting
6,4:12:00,15120,616,Just Chatting
7,2:23:00,8580,614,Just Chatting
8,4:28:00,16080,613,Just Chatting
9,2:50:00,10200,611,Just Chatting
10,3:39:00,13140,609,Just Chatting
11,3:41:00,13260,609,Just Chatting
12,4:18:00,15480,604,Just Chatting
13,4:25:00,15900,602,Just Chatting
14,2:29:00,8940,599,Just Chatting
15,3:00:00,10800,594,Just Chatting
