rank,timestamp,seconds,count,segment
1,0:16:00,960,485,Assassin's Creed Black Flag Resynced
2,0:20:00,1200,469,Assassin's Creed Black Flag Resynced
3,0:30:00,1800,420,
4,0:47:00,2820,379,
5,0:31:00,1860,372,
6,0:25:00,1500,353,
7,0:29:00,1740,333,
8,0:26:00,1560,330,
9,0:11:00,660,324,Assassin's Creed Black Flag Resynced
10,0:13:00,780,322,Assassin's Creed Black Flag Resynced
11,0:42:00,2520,321,
12,0:43:00,2580,305,
13,0:28:00,1680,292,
14,0:52:00,3120,289,
15,0:10:00,600,287,Assassin's Creed Black Flag Resynced
