rank,timestamp,seconds,count,segment
1,0:01:00,60,703,Just Chatting
2,0:03:00,180,671,Just Chatting
3,0:04:00,240,667,Just Chatting
4,1:25:00,5100,663,Dreamcore: Rabbit Hole
5,0:10:00,600,656,Just Chatting
6,2:00:00,7200,655,Dreamcore: Rabbit Hole
7,2:59:00,10740,654,Games + Demos
8,1:22:00,4920,652,The World's Hardest Game
9,1:37:00,5820,649,Dreamcore: Rabbit Hole
10,0:16:00,960,647,Just Chatting
11,1:33:00,5580,646,Dreamcore: Rabbit Hole
12,2:54:00,10440,644,Dreamcore: Rabbit Hole
13,1:58:00,7080,643,Dreamcore: Rabbit Hole
14,2:04:00,7440,641,Dreamcore: Rabbit Hole
15,0:35:00,2100,640,Fall Guys
16,1:42:00,6120,639,Dreamcore: Rabbit Hole
17,2:28:00,8880,636,Dreamcore: Rabbit Hole
18,1:34:00,5640,635,Dreamcore: Rabbit Hole
19,1:10:00,4200,634,The World's Hardest Game
20,0:02:00,120,633,Just Chatting
